08/28/2023,ZZHJBEHW,05/17/2023,BLACK,M,29,20000,"ASSAULT, THIRD DEGREE                 AM",NEW HAVEN CC,NONE,DAVID,SHIELDS
08/28/2023,ZZSSSSCH,06/23/2023,BLACK,M,20,250000,CARRY PIST/RVOLV W/O PERMIT,MANSON YI,NONE,MATTHEW,JOHNSON
08/28/2023,ZZSEBESE,08/24/2023,HISPANIC,M,38,2500,"FAILURE TO APPEAR, SECOND DEGREE      AM",HARTFORD CC,NONE,DANIEL,CARTER
08/28/2023,ZZHCCLWH,08/14/2023,AMER IND,M,30,75000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,JORDAN,MITCHELL
08/28/2023,ZZRJJEEW,04/09/2018,BLACK,M,39,500,PROHIB ACTS RE: DRUG PARAPHERNALIA,CORRIGAN CI,SPECIAL PAROLE,AUSTIN,MORTON
08/28/2023,ZZSRWZHL,07/06/2023,HISPANIC,F,37,40000,"FAILURE TO APPEAR, SECOND DEGREE      AM",YORK CI,NONE,TAYLOR,GRAHAM
08/28/2023,ZZSELRLE,01/03/2023,WHITE,M,43,30100,"BURGLARY, THIRD DEGREE                DF",NEW HAVEN CC,NONE,VINCENT,JONES
08/28/2023,ZZHCCZLL,11/21/2022,BLACK,M,36,61400,"CRIMINAL TRESPASS, FIRST DEGREE       AM",GARNER,NONE,BRIAN,WOLF
08/28/2023,ZZRHZHEB,08/07/2023,BLACK,M,45,335000,"LARCENY, SECOND DEGREE                CF",HARTFORD CC,NONE,ERIC,ROMAN
08/28/2023,ZZHSJWZR,06/05/2023,HISPANIC,F,39,150000,VIOLATION OF PROBATION OR COND DISCHG,YORK CI,NONE,COLLEEN,JAMES
08/28/2023,ZZHSLZBZ,03/27/2023,BLACK,M,36,175000,CRIMINAL ATTEMPT,HARTFORD CC,NONE,JAKE,LOVE
08/28/2023,ZZRBHSRH,12/05/2022,BLACK,M,39,501750,CRIMINAL POSS OF PISTOL/REVOLVER      DF,CHESHIRE CI,NONE,RICHARD,CORTEZ
08/28/2023,ZZHBCREW,08/09/2023,WHITE,M,28,10000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,JASON,DILLON
08/28/2023,ZZHBRJRB,07/14/2023,HISPANIC,M,30,100000,"CRIMINAL TRESPASS, FIRST DEGREE       AM",GARNER,NONE,JOSHUA,GOULD
08/28/2023,ZZSRRZJS,02/16/2022,WHITE,M,45,150000,POSSESSING CHILD PORNOGRAPH            F,GARNER,NONE,CHRISTOPHER,JIMENEZ
08/28/2023,ZZSZRJSC,08/11/2023,HISPANIC,F,43,2500,"ASSAULT, THIRD DEGREE                 AM",YORK CI,NONE,BECKY,CLARK
08/28/2023,ZZHHHLRL,04/14/2023,HISPANIC,M,34,180000,CRIMINAL POSSESSION OF A PISTOL       DF,CORRIGAN CI,NONE,RICHARD,LEE
08/28/2023,ZZHRCZRL,02/14/2022,HISPANIC,M,36,800000,"BURGLARY, FIRST DEGREE: 53A101A(2)    BF",MACDOUGALL,NONE,PATRICK,GRAVES
08/28/2023,ZZRLZESZ,08/10/2023,HISPANIC,M,43,100000,"ASSAULT, FIRST DEGREE                 BF",NEW HAVEN CC,FEDERAL,SEAN,EDWARDS
08/28/2023,ZZSHLWLZ,08/23/2023,BLACK,M,42,10000,CRIM VIOL OF PROTECTIVE ORDER         DF,NEW HAVEN CC,NONE,ERIC,WALKER
08/28/2023,ZZHZEWWC,06/01/2021,HISPANIC,M,41,275500,HOME INVASION                         AF,CORRIGAN CI,NONE,JORDAN,BARRETT
08/28/2023,ZZSEZSBE,07/17/2023,WHITE,F,33,90500,POSSESSION OF NARCOTICS,YORK CI,NONE,ANDREA,WILKERSON
08/28/2023,ZZSSRBJE,02/01/2023,ASIAN,F,47,200000,IDENTITY THEFT 1ST DEGREE             BF,YORK CI,OTHER STATE,SUZANNE,MILLER
08/28/2023,ZZHRSSCE,09/02/2015,BLACK,M,36,2500000,MURDER                                AF,CHESHIRE CI,SPECIAL PAROLE,JOSE,CLARKE
08/28/2023,ZZRWZWCE,04/10/2023,BLACK,M,43,255000,CRIMINAL POSSESSION OF A PISTOL       DF,NEW HAVEN CC,FEDERAL,CARLOS,GARCIA
08/28/2023,ZZHLLLLW,05/31/2023,WHITE,M,35,1075800,HOME INVASION                         AF,WALKER RC,NONE,ANGEL,BROWN
08/28/2023,ZZSSSJCS,08/07/2023,HISPANIC,M,37,50000,ARREST WITHOUT WARRANT,NEW HAVEN CC,NONE,DONALD,RIVERA
08/28/2023,ZZHJWSRZ,02/22/2023,HISPANIC,F,60,92500,"ASSAULT, THIRD DEGREE                 AM",YORK CI,NONE,STEFANIE,MURRAY
08/28/2023,ZZSHBSWW,11/17/2021,BLACK,M,18,2700000,YOUTHFUL OFFENDER,MANSON YI,STATE OF CT,JACOB,EDWARDS
08/28/2023,ZZEHBJLJ,05/01/2023,BLACK,M,62,28000,CRIM VIOL OF PROTECTIVE ORDER         DF,NEW HAVEN CC,NONE,ROBERT,WHITE
08/28/2023,ZZSSZJSR,08/09/2023,WHITE,M,36,520000,"SEXUAL ASSAULT, FOURTH DEGREE         AM",NEW HAVEN CC,NONE,JORGE,CURTIS
08/28/2023,ZZSZELBE,03/28/2023,BLACK,M,42,188000,"ROBBERY, SECOND DEGREE                CF",HARTFORD CC,NONE,JEFFREY,HUMPHREY
08/28/2023,ZZSSSEJS,07/19/2023,HISPANIC,M,30,20000,THREATENING                           AM,NEW HAVEN CC,NONE,RYAN,CONWAY
08/28/2023,ZZEWESSR,05/04/2023,BLACK,M,59,60000,"LARCENY, THIRD DEGREE                 DF",HARTFORD CC,NONE,ZACHARY,MARTIN
08/28/2023,ZZSSWEJE,08/23/2023,HISPANIC,M,27,750000,SEXUAL ASSAULT 1ST DEGREE-AGGRVTD      F,BRIDGEPORT CC,NONE,JOHN,FRITZ
08/28/2023,ZZRBSHEH,08/07/2023,BLACK,M,40,50150,"ASSAULT, THIRD DEGREE                 AM",HARTFORD CC,NONE,JUSTIN,SMITH
08/28/2023,ZZHZLZWL,06/01/2023,WHITE,F,36,122000,VIOLATION OF PROBATION OR COND DISCHG,YORK CI,NONE,TIFFANY,STONE
08/28/2023,ZZSHBHSE,11/05/2021,WHITE,M,50,250000,"ROBBERY, FIRST DEGREE                 BF",NEW HAVEN CC,NONE,GREG,WILLIAMS
08/28/2023,ZZSSHJWJ,05/08/2023,WHITE,M,32,250000,RECKLESS DRIVING                       M,GARNER,NONE,JOHN,VARGAS
08/28/2023,ZZHBZEHS,10/11/2022,HISPANIC,M,37,3825000,CRIMINAL ATTEMPT,WALKER RC,NONE,JOSEPH,PHILLIPS
08/28/2023,ZZRJJRCW,09/28/2022,BLACK,M,41,138002,POSSESS OF LT 4 OZ MJ OR CONTROLD SUB,BRIDGEPORT CC,NONE,BRIAN,SALAZAR
08/28/2023,ZZSHJBCJ,02/17/2023,WHITE,M,20,1002500,HOME INVASION                         AF,MANSON YI,NONE,MICHAEL,CALDWELL
08/28/2023,ZZRWJJJJ,08/18/2023,HISPANIC,M,50,50000,INTERFERING WITH AN OFFICER           AM,NEW HAVEN CC,NONE,CHARLES,EVANS
08/28/2023,ZZRSBJSB,08/24/2023,BLACK,M,45,55000,VIOLATION OF PROBATION OR COND DISCHG,BRIDGEPORT CC,NONE,CHRISTOPHER,CABRERA
08/28/2023,ZZSHLWHL,08/04/2023,HISPANIC,M,25,2500000,"BURGLARY, THIRD DEGREE                DF",BRIDGEPORT CC,NONE,THOMAS,KELLEY
08/28/2023,ZZRLCRBS,07/19/2023,HISPANIC,M,44,15000,VIOLATION OF PROBATION OR COND DISCHG,HARTFORD CC,NONE,JOSEPH,ALLEN
